2024-11-17 02:12:08,418 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-11-17 02:12:08,578 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-11-17 02:12:08,579 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-11-17 02:12:08,579 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-11-17 02:12:08,581 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-11-17 02:12:08,584 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-11-17 02:12:08,585 INFO  SwAddin.cs: 201 - Setting up command manager
2024-11-17 02:12:08,586 INFO  SwAddin.cs: 204 - Adding command manager
2024-11-17 02:12:08,589 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-11-17 02:12:08,590 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-11-17 02:12:08,590 INFO  SwAddin.cs: 210 - Adding event handlers
2024-11-17 02:12:08,593 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-11-17 02:38:34,176 INFO  SwAddin.cs: 294 - Assembly export called for file Assem3
2024-11-17 02:38:39,952 INFO  SwAddin.cs: 313 - Saving assembly
2024-11-17 02:38:40,663 INFO  SwAddin.cs: 316 - Opening property manager
2024-11-17 02:38:40,749 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem3
2024-11-17 02:38:40,773 INFO  ExportHelperExtension.cs: 1136 - Found 55 in Assem3
2024-11-17 02:38:40,774 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Assem3
2024-11-17 02:38:40,774 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-11-17 02:38:40,793 INFO  ExportHelperExtension.cs: 1160 - 12 components to check
2024-11-17 02:38:40,816 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from body-1
2024-11-17 02:38:40,817 INFO  ExportHelperExtension.cs: 1136 - Found 64 in body-1
